KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1997-10,4.44,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1997-11,4.49,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1997-12,4.37,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-01,4.26,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-02,4.24,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-03,4.11,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-04,4.09,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-05,4.06,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-06,4.02,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,M,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1998-07,3.95,A,F,,,P1M,,A,,,EURIBOR3MD=,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
